prime_index,prime,previous_prime,gap,log_prime,gap_over_log
2,3,2,1,1.0986122886681098,0.9102392266268373
3,5,3,2,1.6094379124341003,1.2426698691192237
4,7,5,2,1.9459101490553132,1.0277966847395015
5,11,7,4,2.3978952727983707,1.6681295656969852
6,13,11,2,2.5649493574615367,0.7797424905025602
7,17,13,4,2.833213344056216,1.4118244954590446
8,19,17,2,2.9444389791664403,0.6792465437902172
9,23,19,4,3.1354942159291497,1.275715955615204
10,29,23,6,3.367295829986474,1.7818452262402205
11,31,29,2,3.4339872044851463,0.5824133524399249
12,37,31,6,3.6109179126442243,1.6616273604531444
13,41,37,4,3.713572066704308,1.077130032257564
14,43,41,2,3.7612001156935624,0.531745171349704
15,47,43,4,3.8501476017100584,1.0389212086890862
16,53,47,6,3.970291913552122,1.511223892510198
17,59,53,6,4.07753744390572,1.4714763708589824
18,61,59,2,4.110873864173311,0.48651456261652926
19,67,61,6,4.204692619390966,1.4269770808761468
20,71,67,4,4.2626798770413155,0.9383768228864423
21,73,71,2,4.290459441148391,0.4661505434170185
22,79,73,6,4.3694478524670215,1.3731712112349292
23,83,79,4,4.418840607796598,0.9052148187790263
24,89,83,6,4.48863636973214,1.3367088589441811
25,97,89,8,4.574710978503383,1.7487443551280262
26,101,97,4,4.61512051684126,0.8667162613421266
27,103,101,2,4.634728988229636,0.43152469218355655
28,107,103,4,4.672828834461906,0.8560125229711342
29,109,107,2,4.6913478822291435,0.42631671114734704
30,113,109,4,4.727387818712341,0.8461332459687073
31,127,113,14,4.844187086458591,2.890061789548861
32,131,127,4,4.875197323201151,0.8204796103254998
33,137,131,6,4.919980925828125,1.2195169230234542
34,139,137,2,4.9344739331306915,0.4053116962624411
35,149,139,10,5.003946305945459,1.998422722505727
36,151,149,2,5.017279836814924,0.39862237408500667
37,157,151,6,5.056245805348308,1.1866511698567788
38,163,157,6,5.093750200806762,1.1779140639935
39,167,163,4,5.117993812416755,0.7815562399265914
40,173,167,6,5.153291594497779,1.16430438487243
41,179,173,6,5.187385805840755,1.1566519677877591
42,181,179,2,5.198497031265826,0.3847265830818418
43,191,181,10,5.25227342804663,1.9039374352829712
44,193,191,2,5.262690188904886,0.38003377136212924
45,197,193,4,5.2832037287379885,0.7571163644971702
46,199,197,2,5.293304824724492,0.37783578808048274
47,211,199,12,5.351858133476067,2.2422119011226336
48,223,211,12,5.407171771460119,2.2192747904436545
49,227,223,4,5.424950017481403,0.7373339822690288
50,229,227,2,5.43372200355424,0.36807182971300045
51,233,229,4,5.4510384535657,0.7338051334757089
52,239,233,6,5.476463551931511,1.0955975408407204
53,241,239,2,5.484796933490655,0.36464431122104507
54,251,241,10,5.5254529391317835,1.8098063833245324
55,257,251,6,5.54907608489522,1.0812610798998072
56,263,257,6,5.572154032177765,1.0767828680527376
57,269,263,6,5.594711379601839,1.0724413813151885
58,271,269,2,5.602118820879701,0.3570077793683676
59,277,271,6,5.6240175061873385,1.066853009152091
60,281,277,4,5.638354669333745,0.7094268159034874
61,283,281,2,5.645446897643238,0.35426779071023146
62,293,283,10,5.680172609017068,1.760509880302821
63,307,293,14,5.726847747587197,2.4446258425323775
64,311,307,4,5.739792912179234,0.6968892538809933
65,313,311,2,5.746203190540153,0.34805591338861036
66,317,313,4,5.75890177387728,0.6945768754286168
67,331,317,14,5.802118375377063,2.412911818451167
68,337,331,6,5.820082930352362,1.0309131453624745
69,347,337,10,5.849324779946859,1.7095990351369836
70,349,347,2,5.855071922202427,0.34158419001071566
71,353,349,4,5.8664680569332965,0.6818412648258764
72,359,353,6,5.883322388488279,1.01983192553582
73,367,359,8,5.905361848054571,1.3547010675790299
74,373,367,6,5.921578419643816,1.0132433575642659
75,379,373,6,5.937536205082426,1.0105201539426583
76,383,379,4,5.948034989180646,0.672491000351531
77,389,383,6,5.963579343618446,1.0061071806515876
78,397,389,8,5.983936280687191,1.336912631543143
79,401,397,4,5.993961427306569,0.6673382951343798
80,409,401,8,6.013715156042802,1.330292471860977
81,419,409,10,6.037870919922137,1.656212948674457
82,421,419,2,6.042632833682381,0.33098155308258237
83,431,421,10,6.066108090103747,1.648503431106677
84,433,431,2,6.07073772800249,0.3294492514105165
85,439,433,6,6.0844994130751715,0.986112347567396
86,443,439,4,6.093569770045136,0.6564296711039991
87,449,443,6,6.1070228877422545,0.9824754402088346
88,457,449,8,6.124683390894205,1.3061899676143094
89,461,457,4,6.133398042996649,0.6521670323626485
90,463,461,2,6.137727054086234,0.32585352564162756
91,467,463,4,6.1463292576688975,0.6507949431783402
92,479,467,12,6.171700597410915,1.9443587404473428
93,487,479,8,6.18826412308259,1.292769642808155
94,491,487,4,6.19644412779452,0.6455315205793208
95,499,491,8,6.212606095751519,1.28770436700804
96,503,499,4,6.220590170099739,0.6430258047261559
97,509,503,6,6.2324480165505225,0.9627035771604918
98,521,509,12,6.255750041753367,1.9182352107912275
99,523,521,2,6.259581464064923,0.3195101799507879
100,541,523,18,6.293419278846481,2.860130431878553
101,547,541,6,6.304448802421981,0.9517088944706759
102,557,547,10,6.322565239927284,1.581636506785181
103,563,557,6,6.333279628139691,0.947376454584623
104,569,563,6,6.343880434126331,0.9457933613823398
105,571,569,2,6.3473892096560105,0.3150901786450224
106,577,571,6,6.3578422665081,0.9437163975594134
107,587,577,10,6.375024819828097,1.568621343856925
108,593,587,6,6.385194398997726,0.9396738180660265
109,599,593,6,6.395261598115449,0.9381946161151681
110,601,599,2,6.398594934535208,0.3125686217774746
111,607,601,6,6.408528791059498,0.9362523280492342
112,613,607,6,6.418364935936212,0.9348175212671688
113,617,613,4,6.424869023905388,0.6225807849338196
114,619,617,2,6.428105272684596,0.31113367239001855
115,631,619,12,6.447305862541213,1.8612425493445082
116,641,631,10,6.46302945692067,1.5472620180141543
117,643,641,2,6.466144724237619,0.30930331523561855
118,647,643,4,6.472346294500901,0.6180139037675595
119,653,647,6,6.481577129276431,0.9257006250683633
120,659,653,6,6.490723534502507,0.9243961737248574
121,661,659,2,6.493753839851686,0.3079882683150304
122,673,661,12,6.511745329644728,1.8428239116431637
123,677,673,4,6.517671272912275,0.6137161314999383
124,683,677,6,6.52649485957079,0.9193296139965986
125,691,683,8,6.53813982376767,1.223589616563128
126,701,691,10,6.55250788703459,1.5261332259953388
127,709,701,8,6.5638555265321274,1.2187958689314158
128,719,709,10,6.577861357721047,1.520250953337907
129,727,719,8,6.588926477533519,1.2141583347875962
130,733,727,6,6.597145701886651,0.9094842332016587
131,739,733,6,6.6052979209482015,0.9083617532180426
132,743,739,4,6.610696044717759,0.6050800056366498
133,751,743,8,6.621405651764134,1.2082026718705217
134,757,751,6,6.6293632534374485,0.9050642981268054
135,761,757,4,6.634633357861686,0.6028969174702342
136,769,761,8,6.645090969505644,1.2038962350872306
137,773,769,4,6.650279048587422,0.6014785200403937
138,787,773,14,6.668228248417403,2.0995082169424353
139,797,787,10,6.680854678790215,1.496814476708663
140,809,797,12,6.695798917058491,1.7921685147127566
141,811,809,2,6.698268054115413,0.2985846466343193
142,821,811,10,6.710523109452428,1.4901967904579634
143,823,821,2,6.71295620067707,0.2979313346031186
144,827,823,4,6.717804695023691,0.5954326125263892
145,829,827,2,6.720220155135295,0.2976092975870275
146,839,829,10,6.732210706467206,1.4853961701456606
147,853,839,14,6.748759547491679,2.074455298263427
148,857,853,4,6.75343791859778,0.5922909262236207
149,859,857,2,6.755768921984255,0.29604328139343383
150,863,859,4,6.760414691083428,0.591679679839131
151,877,863,14,6.776506992372183,2.0659611235934343
152,881,877,4,6.78105762593618,0.589878485134945
153,883,881,2,6.78332520060396,0.2948406483330518
154,887,883,4,6.787844982309579,0.5892886491109866
155,907,887,20,6.810142450115136,2.936796131138471
156,911,907,4,6.814542897259958,0.5869799427938666
157,919,911,8,6.823286122355687,1.1724555964008236
158,929,919,10,6.834108738813838,1.4632485935153046
159,937,929,8,6.842683282238422,1.1691320012962794
160,941,937,4,6.846943139585379,0.5842023102067446
161,947,941,6,6.853299093186078,0.8754907553889667
162,953,947,6,6.859614903654202,0.8746846702434747
163,967,953,14,6.874198495453294,2.0366010683659814
164,971,967,4,6.878326468291325,0.5815368052737481
165,977,971,6,6.884486652042782,0.8715246761673457
166,983,977,6,6.890609120147166,0.8707503060153055
167,991,983,8,6.898714534329988,1.1596363293755232
168,997,991,6,6.904750769961838,0.8689669185602135
169,1009,997,12,6.9167150203536085,1.7349276303401198
170,1013,1009,4,6.920671504248683,0.5779785960862832
171,1019,1013,6,6.926577033222725,0.8662287261401297
172,1021,1019,2,6.928537818164665,0.2886611941060011
173,1031,1021,10,6.93828448401696,1.4412784634351634
174,1033,1031,2,6.940222469119639,0.28817520027620935
175,1039,1033,6,6.946013991099227,0.8638047674088376
176,1049,1039,10,6.955592608396297,1.437692021802529
177,1051,1049,2,6.957497370876951,0.2874596846233392
178,1061,1051,10,6.966967138613983,1.4353447922232359
179,1063,1061,2,6.968850378341948,0.2869913818519729
180,1069,1063,6,6.974478911025045,0.8602793235943952
181,1087,1069,18,6.99117688712121,2.5746738053729814
182,1091,1087,4,6.994849985833071,0.5718492902780401
183,1093,1091,2,6.996681488176539,0.2858497994198727
184,1097,1093,4,7.00033446027523,0.5714012698534312
185,1103,1097,6,7.005789019253503,0.8564345833867726
186,1109,1103,6,7.011213987350367,0.8557719120861523
187,1117,1109,8,7.018401799069201,1.1398606447782715
188,1123,1117,6,7.023758954738443,0.8542434384016291
189,1129,1123,6,7.029087564149662,0.8535958536925475
190,1151,1129,22,7.048386408721883,3.121281769225442
191,1153,1151,2,7.050122520269059,0.2836830132029638
192,1163,1153,10,7.0587581525186645,1.416679787567429
193,1171,1163,8,7.065613363597717,1.132244235329416
194,1181,1171,10,7.074116816197362,1.4136040243360617
195,1187,1181,6,7.079184394609668,0.8475552642149856
196,1193,1187,6,7.084226422097916,0.8469520371743237
197,1201,1193,8,7.0909098220799835,1.1282050118715727
198,1213,1201,12,7.10085190894405,1.6899380741746084
199,1217,1213,4,7.104144092987527,0.5630516424840516
200,1223,1217,6,7.109062135687172,0.8439931858072065
201,1229,1223,6,7.113956109566034,0.8434125692639411
202,1231,1229,2,7.115582126184454,0.28107327897182854
203,1237,1231,6,7.1204443723924875,0.8426440382377406
204,1249,1237,12,7.130098510125578,1.683006200118917
205,1259,1249,10,7.138073034044347,1.4009383137866438
206,1277,1259,18,7.152268856032539,2.5166839169948156
207,1279,1277,2,7.153833801578843,0.279570375196388
208,1283,1279,4,7.1569563646156364,0.5588967986134731
209,1289,1283,6,7.161622002939187,0.8377990345675256
210,1291,1289,2,7.1631723908466425,0.27920590080390517
211,1297,1291,6,7.167809184316444,0.8370758547993055
212,1301,1297,4,7.170888478512505,0.5578109340266495
213,1303,1301,2,7.172424577124845,0.2788457345900352
214,1307,1303,4,7.175489713624222,0.5574532414707715
215,1319,1307,12,7.1846291527173145,1.67023234532035
216,1321,1319,2,7.186144304522325,0.2783133646149266
217,1327,1321,6,7.190676034332207,0.8344138953490228
218,1361,1327,34,7.215975002651466,4.711767985269753
219,1367,1361,6,7.220373836723949,0.830981904217073
220,1373,1367,6,7.224753405767971,0.830478171782282
221,1381,1373,8,7.2305631534092925,1.1064145116038313
222,1399,1381,18,7.243512974665482,2.484982088519179
223,1409,1399,10,7.25063551189868,1.3791894494750794
224,1423,1409,14,7.260522598089852,1.9282358550448166
225,1427,1423,4,7.2633296174768365,0.550711617214136
226,1429,1427,2,7.264730177929867,0.2753027230214231
227,1433,1429,4,7.267525427828172,0.5503936710951916
228,1439,1433,6,7.271703706887368,0.8251161270937266
229,1447,1439,8,7.277247726631484,1.0993167060568194
230,1451,1447,4,7.280008252884188,0.5494499265732677
231,1453,1451,2,7.2813856635702825,0.2746729939064016
232,1459,1453,6,7.285506548522785,0.8235528936854177
233,1471,1459,12,7.293697720601438,1.6452560086367933
234,1481,1471,10,7.300472814267799,1.369774294680796
235,1483,1481,2,7.301822342137932,0.2739042264091037
236,1487,1483,4,7.304515946460155,0.5476064436464735
237,1489,1487,2,7.305860032684009,0.2737528492268753
238,1493,1489,4,7.30854279753919,0.5473047241848009
239,1499,1493,6,7.312553498102598,0.8205068177014816
240,1511,1499,12,7.32052696227274,1.6392262554107806
