index,prime,log_prime,sqrt_prime,prime_mod_4,prime_mod_6,is_twin_prime
1,2,0.6931471805599453,1.4142135623730951,2,2,False
2,3,1.0986122886681098,1.7320508075688772,3,3,True
3,5,1.6094379124341003,2.23606797749979,1,5,True
4,7,1.9459101490553132,2.6457513110645907,3,1,True
5,11,2.3978952727983707,3.3166247903554,3,5,True
6,13,2.5649493574615367,3.605551275463989,1,1,True
7,17,2.833213344056216,4.123105625617661,1,5,True
8,19,2.9444389791664403,4.358898943540674,3,1,True
9,23,3.1354942159291497,4.795831523312719,3,5,False
10,29,3.367295829986474,5.385164807134504,1,5,True
11,31,3.4339872044851463,5.5677643628300215,3,1,True
12,37,3.6109179126442243,6.082762530298219,1,1,False
13,41,3.713572066704308,6.4031242374328485,1,5,True
14,43,3.7612001156935624,6.557438524302,3,1,True
15,47,3.8501476017100584,6.855654600401044,3,5,False
16,53,3.970291913552122,7.280109889280518,1,5,False
17,59,4.07753744390572,7.681145747868608,3,5,True
18,61,4.110873864173311,7.810249675906654,1,1,True
19,67,4.204692619390966,8.18535277187245,3,1,False
20,71,4.2626798770413155,8.426149773176359,3,5,True
21,73,4.290459441148391,8.54400374531753,1,1,True
22,79,4.3694478524670215,8.888194417315589,3,1,False
23,83,4.418840607796598,9.1104335791443,3,5,False
24,89,4.48863636973214,9.433981132056603,1,5,False
25,97,4.574710978503383,9.848857801796104,1,1,False
26,101,4.61512051684126,10.04987562112089,1,5,True
27,103,4.634728988229636,10.14889156509222,3,1,True
28,107,4.672828834461906,10.344080432788601,3,5,True
29,109,4.6913478822291435,10.44030650891055,1,1,True
30,113,4.727387818712341,10.63014581273465,1,5,False
31,127,4.844187086458591,11.269427669584644,3,1,False
32,131,4.875197323201151,11.445523142259598,3,5,False
33,137,4.919980925828125,11.704699910719626,1,5,True
34,139,4.9344739331306915,11.789826122551595,3,1,True
35,149,5.003946305945459,12.206555615733702,1,5,True
36,151,5.017279836814924,12.288205727444508,3,1,True
37,157,5.056245805348308,12.529964086141668,1,1,False
38,163,5.093750200806762,12.767145334803704,3,1,False
39,167,5.117993812416755,12.922847983320086,3,5,False
40,173,5.153291594497779,13.152946437965905,1,5,False
41,179,5.187385805840755,13.379088160259652,3,5,True
42,181,5.198497031265826,13.45362404707371,1,1,True
43,191,5.25227342804663,13.820274961085254,3,5,True
44,193,5.262690188904886,13.892443989449804,1,1,True
45,197,5.2832037287379885,14.035668847618199,1,5,True
46,199,5.293304824724492,14.106735979665885,3,1,True
47,211,5.351858133476067,14.52583904633395,3,1,False
48,223,5.407171771460119,14.933184523068078,3,1,False
49,227,5.424950017481403,15.066519173319364,3,5,True
50,229,5.43372200355424,15.132745950421556,1,1,True
51,233,5.4510384535657,15.264337522473747,1,5,False
52,239,5.476463551931511,15.459624833740307,3,5,True
53,241,5.484796933490655,15.524174696260024,1,1,True
54,251,5.5254529391317835,15.84297951775486,3,5,False
55,257,5.54907608489522,16.0312195418814,1,5,False
56,263,5.572154032177765,16.217274740226856,3,5,False
57,269,5.594711379601839,16.401219466856727,1,5,True
58,271,5.602118820879701,16.46207763315433,3,1,True
59,277,5.6240175061873385,16.64331697709324,1,1,False
60,281,5.638354669333745,16.76305461424021,1,5,True
61,283,5.645446897643238,16.822603841260722,3,1,True
62,293,5.680172609017068,17.11724276862369,1,5,False
63,307,5.726847747587197,17.52141546793523,3,1,False
64,311,5.739792912179234,17.635192088548397,3,5,True
65,313,5.746203190540153,17.69180601295413,1,1,True
66,317,5.75890177387728,17.804493814764857,1,5,False
67,331,5.802118375377063,18.193405398660254,3,1,False
68,337,5.820082930352362,18.35755975068582,1,1,False
